Student Roll Num,Type,10-01-21,R-10-01-21,09-01-21,R-9-01-21,08-01-21,R-8-01-21,07-01-21,R-7-01-21,06-01-21,R-6-01-21,05-01-21,R-5-01-21,04-01-21,R-4-01-21,03-01-21,R-3-01-21,02-01-21,R-02-01-21,01-01-21,R-01-01-21
17,STUDENT,Attended,9,Attended,5,Attended,6,Attended,5,Missed,9,Missed,9,Attended,9,Missed,8,Missed,5,Missed,10
18,,Missed,5,Missed,7,Missed,10,Missed,5,Missed,7,Missed,5,Missed,6,Missed,10,Missed,7,Missed,9
19,,Missed,7,Missed,7,Missed,8,,9,,9,,8,,5,,7,,5,,5
20,,Missed,9,Attended,9,Missed,9,Attended,10,Missed,9,Attended,6,Attended,7,Attended,10,Attended,7,Missed,7
21,,Missed,8,Missed,9,Missed,9,Missed,7,Missed,6,Missed,10,Missed,10,Missed,8,Missed,7,Missed,8
22,WORKING,Attended,5,Attended,8,Attended,10,Attended,6,Attended,5,Attended,10,Attended,8,Attended,8,Attended,5,Attended,5
23,,Missed,5,Missed,8,Missed,5,Missed,10,Missed,7,Missed,5,Missed,8,Missed,8,Missed,8,Missed,6
24,WORKING,Attended,9,Attended,6,Attended,6,Attended,5,Attended,10,Missed,10,Attended,9,Missed,7,Attended,8,Attended,7
25,STUDENT,Attended,7,Attended,10,Attended,9,Attended,9,Attended,10,Attended,10,Attended,10,Attended,5,Attended,6,Attended,6
26,STUDENT,Attended,10,Attended,5,Attended,9,Attended,9,Attended,6,Attended,8,Missed,8,Attended,9,Attended,10,Attended,5
27,,Missed,8,Missed,9,Missed,7,Attended,6,Attended,8,Attended,7,Missed,10,Missed,9,Missed,5,Attended,10
28,STUDENT,Attended,7,Attended,10,Attended,10,Attended,9,Attended,8,Attended,7,Attended,6,Attended,5,Attended,7,Attended,10
29,STUDENT,Attended,5,Attended,5,Attended,10,Attended,5,Attended,6,Attended,9,Attended,7,Attended,5,Missed,7,Attended,5
30,WORKING,Attended,8,Attended,7,Attended,5,Attended,7,Attended,9,Attended,10,Missed,5,Missed,6,Missed,10,Missed,6
31,,Attended,7,Attended,7,Attended,7,Attended,7,Attended,7,Attended,5,Attended,9,Attended,9,Attended,5,Attended,7
32,STUDENT,Missed,8,Missed,9,Missed,10,Missed,9,Missed,5,Missed,8,Missed,8,Missed,10,Missed,7,Missed,9
33,STUDENT,Missed,5,Missed,5,Missed,7,Missed,9,Missed,9,Missed,7,Missed,7,Missed,6,Missed,6,Missed,10
34,STUDENT,Attended,10,Attended,5,Attended,6,Attended,9,Attended,8,Attended,5,Attended,9,Attended,9,Attended,6,Attended,8
35,STUDENT,Missed,5,Missed,10,Missed,8,Missed,5,Missed,9,Missed,6,Missed,10,Missed,6,Missed,9,Missed,6
36,WORKING,Missed,8,Missed,10,Missed,9,Missed,5,Missed,6,Missed,10,Missed,7,Missed,6,Missed,5,Missed,6
37,,Missed,7,Missed,7,Missed,5,Missed,9,Missed,7,Missed,8,Missed,5,Missed,9,Attended,6,Attended,10
38,,Attended,10,Attended,8,Attended,8,Attended,8,Missed,8,Attended,8,Attended,10,Attended,8,Attended,5,Attended,6
39,,Missed,8,Missed,6,Missed,9,Missed,8,Missed,8,Missed,5,Missed,8,Missed,9,Missed,8,Missed,10
40,,Attended,9,Attended,8,Attended,9,Attended,10,Attended,9,Attended,5,Attended,6,Missed,5,Attended,5,Missed,5
41,,Attended,6,Attended,9,Attended,10,Attended,10,Attended,5,Attended,7,Attended,10,Attended,5,Attended,6,Attended,8
42,,Attended,9,Attended,10,Missed,9,Attended,5,Attended,8,Attended,9,Missed,5,Attended,5,Attended,5,Missed,5
43,,Missed,6,Missed,7,Missed,5,Missed,8,Missed,6,Missed,5,Missed,5,Missed,10,Missed,5,Missed,9
44,,Attended,7,Attended,9,Attended,7,Attended,10,Attended,8,Attended,8,Attended,5,Attended,10,Attended,6,Attended,7
45,,Attended,8,Attended,5,Attended,6,Attended,6,Attended,7,Attended,6,Attended,9,Attended,9,Attended,10,Attended,9
46,STUDENT,Missed,10,Missed,5,Missed,5,Missed,5,Attended,10,Missed,6,Attended,9,Missed,7,Attended,5,Missed,6
47,,Attended,9,Missed,6,Attended,10,Attended,9,Attended,7,Attended,8,Attended,5,Attended,10,Attended,6,Attended,5
48,,Missed,8,Missed,9,Missed,6,Attended,8,Attended,10,Attended,9,Attended,7,Missed,8,Attended,9,Attended,7
49,STUDENT,Missed,8,Missed,10,Missed,6,Missed,7,Missed,7,Missed,6,Missed,9,Missed,8,Missed,7,Missed,8
50,IGNORE,Missed,6,Missed,7,Missed,9,Missed,10,Missed,10,Missed,10,Missed,8,Missed,7,Missed,8,Missed,8
51,STUDENT,Missed,7,Missed,9,Missed,7,Missed,7,Missed,9,Missed,6,Missed,8,Missed,5,Missed,10,Missed,5
52,DROPOUT,Missed,7,Missed,8,Missed,6,Missed,9,Missed,10,Missed,9,Missed,9,Missed,7,Missed,6,Missed,10
53,,Missed,5,Missed,8,Attended,10,Missed,10,Missed,9,Missed,10,Attended,7,Attended,8,Attended,9,Attended,10
54,,Attended,9,Missed,5,Attended,7,Attended,7,Attended,6,Attended,7,Attended,7,Attended,9,Attended,6,Attended,7
55,WORKING,Missed,7,Missed,10,Missed,10,Missed,8,Missed,7,Attended,6,Attended,9,Missed,7,Attended,8,Missed,6
56,,Attended,7,Attended,10,Attended,6,Missed,8,Missed,6,Attended,7,Attended,7,Attended,10,Attended,6,Attended,6
57,,Attended,9,Attended,8,Attended,6,Attended,10,Attended,8,Missed,10,Attended,9,Attended,10,Attended,10,Attended,9
